EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork,SatisfactionLevel
1834,28,No,Travel_Rarely,Unknown,1,3,Medical,3,Female,3,1, Research Scientist ,1,Unknown,3591,12719,1,No,25,4,3,1,Unknown,3,3,3,1,2,1995,No,B
1835,38,No,Travel_Rarely, Sales ,2,4,Unknown,2,Female,1,2, Sales Representative ,4,Unknown,5405,4244,2,Yes,20,4,1,2,20,4,2,4,0,3,1985,Yes,A
1837,58,No,Travel_Frequently, Research & Development ,15,4,Life Sciences,1,Male,3,4, Research Director ,3,Married,6477,21624,2,No,14,3,2,0,23,3,3,2,2,2,1965,Yes,A
1844,29,Yes,Travel_Rarely,Unknown,13,3,Unknown,1,Male,2,1, Human Resources ,1,Divorced,6477,3157,4,No,15,3,4,3,Unknown,3,3,2,2,0,1994,No,B
1856,47,No,Travel_Rarely,Unknown,9,4,Life Sciences,2,Female,3,1, Laboratory Technician ,3,Single,2105,5411,4,No,12,3,3,0,Unknown,2,3,2,2,0,1976,No,A
1858,28,No,Travel_Rarely,Unknown,1,2,Life Sciences,3,Male,3,1, Human Resources ,4,Unknown,6477,10494,1,No,15,3,2,1,3,2,3,3,2,2,1995,Yes,A
1873,55,No,Travel_Rarely,Unknown,2,4,Unknown,2,Male,2,1, Research Scientist ,4,Unknown,2662,7975,8,No,20,4,2,1,Unknown,2,4,5,0,4,1968,No,A
1883,29,No,Travel_Rarely,Unknown,7,3,Life Sciences,4,Male,3,1, Laboratory Technician ,1,Single,2062,19384,3,No,14,3,2,0,Unknown,2,3,3,1,2,1994,Yes,B
1886,35,No,Travel_Rarely,Unknown,16,2,Other,3,Female,2,2, Manufacturing Director ,2,Married,6477,25388,0,No,11,3,4,0,4,2,3,3,0,2,1988,No,B
1905,34,Yes,Non-Travel,Unknown,16,4,Technical Degree,4,Male,1,1, Research Scientist ,1,Unknown,6477,14460,1,No,23,4,2,1,Unknown,2,3,5,3,0,1989,Yes,B
1907,56,Yes,Travel_Rarely,Unknown,24,2,Unknown,1,Male,3,1, Laboratory Technician ,4,Single,2587,10261,1,No,16,3,4,0,5,3,3,4,1,0,1967,Yes,A
1908,36,No,Travel_Rarely,Unknown,17,2,Marketing,3,Male,2,2, Sales Executive ,2,Unknown,5507,16822,2,No,16,3,3,2,Unknown,1,1,4,1,3,1987,Yes,B
1922,45,No,Travel_Frequently,Unknown,1,4,Medical,2,Male,3,2, Healthcare Representative ,3,Single,5399,14511,4,No,12,3,3,0,12,3,3,4,0,3,1978,Yes,A
1929,39,No,Travel_Rarely,Unknown,21,4,Unknown,1,Female,1,2, Sales Executive ,3,Unknown,6477,3987,6,No,19,3,3,1,10,1,3,3,1,2,1984,No,A
1948,31,No,Travel_Rarely,Unknown,3,2,Unknown,3,Male,3,1, Research Scientist ,1,Divorced,6477,3995,1,No,13,3,4,1,4,3,3,4,2,3,1992,Yes,B
1972,38,No,Travel_Frequently, Human Resources ,1,4,Other,4,Male,3,1, Human Resources ,2,Unknown,6477,5224,0,Yes,11,3,2,1,Unknown,2,3,6,1,2,1985,No,B
1980,54,No,Travel_Rarely,Unknown,10,3,Unknown,3,Female,3,2, Manufacturing Director ,1,Single,4440,25198,6,Yes,19,3,4,0,9,3,3,5,1,4,1969,No,B
1982,23,No,Travel_Rarely,Unknown,12,2,Unknown,4,Male,3,1, Laboratory Technician ,4,Single,6477,13672,1,No,13,3,3,0,Unknown,6,4,5,1,4,2000,Yes,A
1992,25,No,Travel_Rarely,Unknown,2,1,Other,4,Male,3,1, Laboratory Technician ,3,Unknown,6477,7298,6,No,19,3,3,1,Unknown,2,2,2,0,2,1998,Yes,A
1996,31,No,Travel_Rarely,Unknown,2,2,Life Sciences,1,Male,3,1, Sales Representative ,3,Unknown,6477,6393,0,No,19,3,3,1,Unknown,1,3,2,1,2,1992,Yes,A
2003,35,No,Travel_Rarely,Unknown,11,4,Medical,4,Male,3,1, Laboratory Technician ,3,Married,2660,20232,7,Yes,11,3,3,1,Unknown,3,3,2,2,2,1988,Yes,A
2007,22,No,Travel_Rarely, Research & Development ,1,2,Unknown,4,Male,3,1, Research Scientist ,3,Unknown,3375,17624,0,No,12,3,4,0,Unknown,2,4,3,1,2,2001,Yes,A
2010,32,No,Travel_Rarely,Unknown,29,4,Unknown,3,Female,2,1, Laboratory Technician ,2,Single,6477,15919,1,No,13,3,3,0,6,3,3,6,4,1,1991,No,B
2027,29,Yes,Travel_Rarely,Unknown,38,4,Unknown,3,Male,3,1, Research Scientist ,4,Married,4787,26124,9,No,14,3,2,3,4,3,4,2,2,2,1994,Yes,A
2038,32,No,Travel_Rarely,Unknown,2,3,Technical Degree,4,Male,3,1, Research Scientist ,1,Unknown,6477,11288,1,No,14,3,4,0,Unknown,4,3,4,1,2,1991,Yes,B
2048,40,No,Travel_Rarely,Unknown,2,4,Unknown,3,Male,2,1, Research Scientist ,3,Unknown,2809,2725,2,No,14,3,4,0,8,2,3,2,2,2,1983,Yes,A
2055,50,Yes,Travel_Rarely, Sales ,40,3,Marketing,4,Male,2,3, Sales Executive ,1,Unknown,10854,16586,4,No,13,3,2,1,20,3,3,3,2,0,1973,Yes,B
2060,26,No,Travel_Rarely,Unknown,5,3,Other,4,Female,2,1, Sales Representative ,3,Single,6477,21378,0,No,18,3,4,0,Unknown,2,3,4,0,0,1997,Yes,A
2061,36,No,Travel_Frequently,Unknown,23,2,Medical,3,Male,4,2, Laboratory Technician ,4,Unknown,2571,12290,4,No,17,3,3,1,17,3,3,5,0,3,1987,No,A
2064,27,No,Travel_Rarely,Unknown,4,3,Life Sciences,2,Male,4,2, Manufacturing Director ,2,Unknown,6142,5174,1,Yes,20,4,2,1,6,0,3,6,0,3,1996,No,B
39,33,No,Travel_Rarely,Unknown,2,3,Medical,3,Male,3,1, Laboratory Technician ,4,Unknown,2496,6670,4,No,11,3,4,0,7,3,3,1,0,0,1990,No,A
51,36,No,Travel_Rarely,Unknown,5,4,Life Sciences,2,Female,2,1, Research Scientist ,1,Married,3419,13072,9,Yes,14,3,4,1,Unknown,3,4,1,0,0,1987,Yes,B
95,31,No,Travel_Rarely, Research & Development ,1,4,Medical,3,Male,3,1, Research Scientist ,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,0,1992,Yes,B
169,22,No,Travel_Rarely, Research & Development ,2,1,Technical Degree,3,Male,3,1, Laboratory Technician ,4,Unknown,6477,19299,0,No,14,3,3,1,3,2,3,2,2,1,2001,Yes,A
224,27,No,Travel_Rarely,Unknown,3,3,Unknown,3,Male,2,1, Research Scientist ,3,Divorced,2566,25326,1,No,15,3,4,1,1,2,2,1,0,1,1996,Yes,A
242,33,No,Travel_Rarely,Unknown,2,3,Life Sciences,3,Male,3,1, Research Scientist ,4,Unknown,6477,10515,0,No,14,3,1,0,4,2,3,3,0,2,1990,Yes,A
286,36,No,Travel_Frequently,Unknown,18,1,Unknown,2,Female,3,1, Laboratory Technician ,4,Single,6477,7703,1,No,13,3,1,0,8,2,3,8,1,7,1987,Yes,A
340,37,No,Travel_Rarely,Unknown,18,2,Medical,3,Female,2,1, Research Scientist ,1,Unknown,3920,18697,2,No,14,3,1,1,Unknown,2,2,3,0,2,1986,Yes,B
431,49,No,Travel_Rarely,Unknown,45,2,Technical Degree,3,Female,2,4, Healthcare Representative ,3,Unknown,13964,17810,7,Yes,12,3,4,0,Unknown,2,3,7,0,7,1974,Yes,A
496,35,No,Travel_Rarely,Unknown,9,4,Unknown,3,Male,2,2, Healthcare Representative ,2,Single,6540,19394,9,No,19,3,3,0,Unknown,5,3,1,0,0,1988,Yes,B
511,22,No,Travel_Rarely,Unknown,11,3,Medical,1,Female,3,1, Research Scientist ,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,2,2001,No,B
612,33,No,Travel_Rarely,Unknown,1,5,Unknown,1,Female,4,4, Research Director ,3,Unknown,16184,22578,4,No,19,3,3,1,10,2,3,6,0,5,1990,No,A
650,31,Yes,Travel_Rarely, Sales ,13,4,Medical,2,Male,3,2, Sales Executive ,1,Divorced,4233,11512,2,No,17,3,3,0,Unknown,2,1,3,1,2,1992,No,B
684,45,Yes,Travel_Rarely,Unknown,26,4,Unknown,1,Female,3,2, Sales Executive ,1,Unknown,6477,5630,2,No,14,3,4,2,5,4,3,1,0,0,1978,Yes,B
730,53,No,Travel_Rarely,Unknown,7,3,Unknown,3,Male,4,4, Research Director ,3,Married,14814,13514,3,No,19,3,3,0,32,3,3,5,1,3,1970,Yes,A
757,34,No,Travel_Rarely,Unknown,8,2,Unknown,2,Female,3,2, Healthcare Representative ,3,Unknown,6477,7360,3,No,11,3,4,0,10,2,3,5,4,3,1989,Yes,A
869,28,No,Travel_Rarely,Unknown,8,2,Medical,2,Male,2,1, Human Resources ,4,Divorced,6477,23965,1,No,13,3,4,1,6,6,3,5,0,4,1995,Yes,A
875,42,No,Travel_Frequently, Research & Development ,2,1,Unknown,2,Male,3,1, Research Scientist ,4,Single,6477,9068,5,No,14,3,4,0,8,2,3,2,2,2,1981,Yes,A
964,40,No,Travel_Rarely,Unknown,9,4,Unknown,4,Male,3,1, Research Scientist ,2,Unknown,3617,25063,8,Yes,14,3,4,1,3,2,3,1,0,0,1983,Yes,B
970,37,Yes,Travel_Rarely,Unknown,1,4,Life Sciences,1,Male,2,3, Sales Executive ,3,Married,6477,14922,5,No,11,3,3,0,Unknown,2,1,14,11,7,1986,Yes,A
1006,38,No,Travel_Rarely, Research & Development ,10,1,Unknown,3,Male,3,1, Research Scientist ,3,Married,2684,12127,0,No,17,3,2,1,3,0,2,2,0,2,1985,No,A
1055,34,No,Travel_Rarely,Unknown,10,4,Life Sciences,3,Female,3,1, Sales Representative ,3,Married,6477,18410,1,Yes,19,3,4,1,1,2,3,1,0,0,1989,No,A
1061,50,No,Travel_Rarely,Unknown,12,4,Medical,3,Male,3,5, Research Director ,3,Married,19237,12853,2,No,11,3,4,1,29,2,2,8,7,7,1973,No,A
1107,26,Yes,Travel_Rarely,Unknown,21,3,Unknown,1,Male,3,1, Laboratory Technician ,3,Unknown,2377,19373,1,No,20,3,3,1,1,0,2,1,0,0,1997,No,A
1180,40,No,Travel_Rarely,Unknown,29,2,Medical,3,Female,2,2, Research Scientist ,4,Married,4422,21203,3,Yes,13,3,4,1,16,3,1,1,0,0,1983,Yes,A
1193,19,No,Travel_Rarely,Unknown,47,2,Unknown,3,Male,3,1, Research Scientist ,1,Single,2552,7172,1,No,25,3,3,0,1,4,3,1,0,0,2004,No,B
1226,20,No,Travel_Rarely,Unknown,21,3,Marketing,3,Male,4,1, Sales Representative ,4,Single,2678,5050,1,No,17,3,4,0,2,2,3,2,2,2,2003,Yes,A
1254,59,No,Travel_Rarely,Unknown,3,3,Unknown,3,Female,2,2, Sales Executive ,4,Single,5171,16490,5,No,17,3,4,0,13,2,3,6,0,5,1964,No,A
1321,30,No,Travel_Rarely, Research & Development ,17,4,Medical,2,Female,3,3, Manager ,1,Unknown,11916,25927,1,Yes,23,4,4,2,Unknown,2,3,9,0,8,1993,No,B
1465,45,No,Travel_Rarely,Unknown,29,3,Unknown,2,Male,3,3, Manufacturing Director ,4,Married,9380,14720,4,Yes,18,3,4,2,Unknown,4,4,3,1,2,1978,Yes,A
1479,30,No,Travel_Rarely,Unknown,42,1,Life Sciences,4,Male,3,2, Sales Executive ,3,Unknown,6477,2939,8,No,15,3,3,2,4,2,2,2,2,2,1993,No,A
1551,24,No,Travel_Rarely, Research & Development ,24,2,Technical Degree,3,Male,2,1, Laboratory Technician ,1,Unknown,6477,10036,0,No,14,3,2,3,Unknown,3,3,1,0,0,1999,No,B
1555,32,No,Travel_Rarely,Unknown,5,2,Life Sciences,4,Female,2,2, Research Scientist ,2,Married,5878,15624,3,No,12,3,1,1,12,2,3,7,2,5,1991,Yes,B
1604,28,Yes,Travel_Rarely,Unknown,24,3,Medical,3,Male,3,1, Laboratory Technician ,2,Married,6477,7324,1,No,17,3,3,3,Unknown,3,3,1,0,0,1995,No,B
1757,49,No,Travel_Rarely, Sales ,11,4,Unknown,4,Female,3,2, Sales Executive ,4,Single,6477,8191,3,No,12,3,3,0,8,1,4,5,0,4,1974,Yes,A
1760,38,No,Travel_Frequently, Research & Development ,2,2,Medical,3,Female,2,1, Laboratory Technician ,2,Married,2468,15963,4,No,14,3,2,1,9,4,2,6,0,5,1985,No,B
1789,46,No,Travel_Rarely,Unknown,2,4,Unknown,3,Male,3,5, Research Director ,4,Unknown,6477,14218,7,No,17,3,3,1,24,3,3,2,2,2,1977,Yes,A
1807,34,Yes,Travel_Frequently,Unknown,9,4,Life Sciences,4,Male,3,2, Laboratory Technician ,1,Unknown,6477,6208,4,No,17,3,3,1,Unknown,3,2,7,0,7,1989,No,B
1812,39,No,Travel_Rarely,Unknown,20,3,Life Sciences,3,Male,3,2, Sales Executive ,4,Unknown,4127,19188,2,No,18,3,4,1,7,6,3,2,2,2,1984,No,A
1818,26,Yes,Travel_Rarely, Human Resources ,20,2,Unknown,4,Female,3,1, Human Resources ,2,Married,2148,6889,0,Yes,11,3,3,0,6,3,3,5,1,4,1997,Yes,B
1830,54,No,Travel_Rarely,Unknown,7,4,Medical,4,Female,3,2, Research Scientist ,4,Married,6477,15696,4,No,15,3,2,1,14,2,2,7,1,7,1969,No,A
1890,36,No,Travel_Frequently,Unknown,2,1,Unknown,2,Male,2,2, Human Resources ,4,Unknown,3886,4223,1,No,21,4,4,0,10,2,2,10,0,8,1987,Yes,A
1939,32,Yes,Travel_Frequently, Research & Development ,5,2,Unknown,1,Female,4,1, Research Scientist ,3,Unknown,6477,15318,3,Yes,14,3,1,0,8,2,3,4,0,3,1991,No,A
1994,33,No,Travel_Rarely,Unknown,1,2,Medical,2,Male,2,1, Laboratory Technician ,3,Divorced,6477,20439,1,No,12,3,3,3,Unknown,2,2,1,0,0,1990,No,A
4,37,Yes,Travel_Rarely,Unknown,2,2,Unknown,4,Male,2,1, Laboratory Technician ,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,1986,Yes,A
10,59,No,Travel_Rarely,Unknown,3,3,Medical,3,Female,4,1, Laboratory Technician ,1,Unknown,6477,9964,4,No,20,3,1,3,12,3,2,1,0,0,1964,Yes,B
30,21,No,Travel_Rarely,Unknown,15,2,Unknown,3,Male,3,1, Research Scientist ,4,Single,6477,19281,1,No,14,3,4,0,0,6,3,0,0,0,2002,Yes,A
41,30,No,Travel_Rarely,Unknown,9,2,Medical,4,Male,2,1, Laboratory Technician ,3,Unknown,6477,16117,1,No,13,3,1,0,10,5,3,10,1,8,1993,No,A
42,39,Yes,Travel_Rarely,Unknown,18,3,Technical Degree,3,Male,3,2, Sales Representative ,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,1984,Yes,A
53,35,No,Travel_Rarely, Research & Development ,4,2,Other,3,Male,3,1, Laboratory Technician ,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,1988,Yes,A
54,27,No,Travel_Rarely,Unknown,2,4,Life Sciences,4,Female,3,1, Laboratory Technician ,1,Divorced,6477,19715,1,No,13,3,4,1,Unknown,6,3,1,0,0,1996,No,B
55,26,Yes,Travel_Rarely,Unknown,25,3,Life Sciences,1,Male,1,1, Laboratory Technician ,3,Single,6477,10558,1,No,12,3,3,0,1,2,2,1,0,1,1997,No,A
64,48,Yes,Travel_Rarely,Unknown,1,2,Unknown,1,Male,2,3, Laboratory Technician ,3,Unknown,6477,19294,9,No,13,3,4,0,Unknown,2,3,1,0,0,1975,No,A
70,35,No,Non-Travel,Unknown,11,2,Medical,3,Male,2,3, Healthcare Representative ,1,Married,6477,8302,2,Yes,13,3,3,1,10,3,3,4,2,3,1988,Yes,B
84,55,No,Travel_Rarely,Unknown,8,3,Unknown,4,Female,3,4, Manager ,3,Divorced,6477,19730,2,Yes,14,3,3,3,21,2,3,5,0,2,1968,Yes,A
97,36,No,Travel_Rarely, Research & Development ,6,3,Life Sciences,2,Female,4,1, Laboratory Technician ,4,Unknown,3038,22002,3,No,12,3,2,0,Unknown,3,3,1,0,0,1987,Yes,A
106,55,No,Travel_Rarely,Unknown,1,2,Unknown,1,Male,3,3, Sales Executive ,4,Married,6477,18092,3,No,14,3,4,1,Unknown,4,3,1,1,0,1968,Yes,A
113,23,No,Travel_Rarely,Unknown,2,1,Technical Degree,3,Male,3,1, Sales Representative ,1,Divorced,2322,9518,3,No,13,3,3,1,Unknown,3,3,0,0,0,2000,No,B
137,20,Yes,Travel_Rarely, Research & Development ,6,3,Life Sciences,4,Female,2,1, Laboratory Technician ,4,Single,2926,19783,1,Yes,18,3,2,0,Unknown,5,3,1,1,0,2003,No,A
139,37,No,Travel_Rarely,Unknown,2,2,Life Sciences,3,Male,2,2, Healthcare Representative ,4,Divorced,6477,15850,5,No,14,3,4,1,17,2,4,1,0,0,1986,No,A
144,22,No,Travel_Rarely, Research & Development ,15,3,Unknown,2,Female,3,1, Laboratory Technician ,4,Single,6477,23785,1,No,15,3,3,0,Unknown,5,3,0,0,0,2001,No,A
155,36,No,Travel_Rarely,Unknown,3,2,Life Sciences,1,Female,3,1, Laboratory Technician ,4,Divorced,2835,2561,5,No,22,4,1,1,Unknown,2,3,1,0,0,1987,No,A
167,19,Yes,Travel_Rarely, Sales ,22,1,Marketing,4,Male,3,1, Sales Representative ,3,Single,6477,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,2004,Yes,A
200,41,No,Travel_Rarely,Unknown,9,4,Life Sciences,3,Male,3,1, Laboratory Technician ,1,Unknown,6477,6961,2,No,21,4,4,1,7,2,3,5,1,4,1982,Yes,B
201,19,No,Travel_Rarely,Unknown,18,1,Unknown,2,Female,3,1, Laboratory Technician ,2,Single,6477,16102,1,No,14,3,4,0,1,3,3,1,0,0,2004,No,B
211,51,No,Travel_Rarely,Unknown,7,4,Unknown,2,Male,2,2, Manufacturing Director ,3,Married,6477,13983,2,No,17,3,3,0,10,2,3,1,0,0,1972,Yes,A
214,58,No,Travel_Rarely,Unknown,9,3,Unknown,2,Female,2,1, Research Scientist ,2,Married,6477,11873,4,Yes,20,4,2,1,9,3,2,1,0,0,1965,No,B
243,19,Yes,Travel_Rarely,Unknown,2,3,Life Sciences,2,Male,2,1, Laboratory Technician ,4,Single,6477,9241,1,No,22,4,3,0,1,3,2,1,1,0,2004,Yes,A
271,38,No,Travel_Rarely,Unknown,38,4,Unknown,4,Male,3,2, Manufacturing Director ,3,Unknown,6553,7259,9,No,14,3,2,0,14,3,3,1,0,0,1985,No,A
282,38,Yes,Travel_Rarely,Unknown,29,1,Medical,2,Male,3,2, Healthcare Representative ,1,Married,6673,11354,7,Yes,19,3,2,0,17,2,3,1,0,0,1985,No,B
309,59,No,Travel_Rarely,Unknown,3,3,Life Sciences,3,Male,2,1, Research Scientist ,4,Married,2177,8456,3,No,17,3,1,1,7,6,3,1,0,0,1964,Yes,A
323,50,No,Travel_Rarely,Unknown,1,4,Medical,4,Female,3,5, Manager ,4,Divorced,19517,24118,3,No,11,3,3,1,Unknown,3,2,7,0,6,1973,No,A
334,41,No,Travel_Rarely, Research & Development ,19,2,Life Sciences,3,Male,3,2, Research Scientist ,1,Divorced,6477,19877,2,No,16,3,1,2,17,2,2,1,0,0,1982,Yes,B
342,37,Yes,Travel_Rarely,Unknown,10,3,Medical,1,Male,3,3, Manufacturing Director ,3,Unknown,10048,22573,6,No,11,3,2,2,17,5,3,1,0,0,1986,Yes,A
364,28,Yes,Travel_Rarely,Unknown,2,4,Life Sciences,1,Male,3,1, Laboratory Technician ,3,Single,6477,14935,2,No,11,3,3,0,5,5,1,0,0,0,1995,No,A
367,31,No,Travel_Rarely, Research & Development ,23,3,Medical,2,Male,2,2, Healthcare Representative ,4,Unknown,6477,14408,0,No,21,3,2,1,10,2,3,9,7,8,1992,Yes,A
392,44,Yes,Travel_Frequently,Unknown,12,3,Life Sciences,3,Male,3,1, Laboratory Technician ,3,Unknown,3161,19920,3,Yes,22,4,4,1,19,0,1,1,0,0,1979,Yes,A
397,36,No,Travel_Rarely,Unknown,3,3,Technical Degree,3,Male,3,2, Research Scientist ,2,Single,6477,26285,4,No,12,3,4,0,10,2,3,8,7,7,1987,Yes,B
407,36,No,Travel_Rarely,Unknown,18,4,Life Sciences,3,Male,4,1, Laboratory Technician ,4,Married,6477,7122,4,No,18,3,4,2,4,2,3,1,0,0,1987,Yes,A
445,39,Yes,Travel_Rarely,Unknown,3,2,Unknown,4,Female,3,2, Sales Executive ,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,1984,Yes,A
468,42,No,Travel_Rarely,Unknown,23,5,Unknown,1,Female,3,4, Research Director ,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,1981,No,A
471,32,No,Travel_Rarely,Unknown,2,3,Unknown,3,Female,3,1, Laboratory Technician ,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,7,1991,Yes,B
473,48,No,Travel_Rarely,Unknown,29,1,Medical,1,Female,3,3, Manager ,3,Married,6477,23978,3,No,21,4,2,1,15,3,1,0,0,0,1975,Yes,A
477,42,No,Travel_Rarely, Research & Development ,2,4,Unknown,1,Male,2,2, Healthcare Representative ,4,Unknown,6781,17078,3,No,23,4,2,0,Unknown,6,3,1,0,0,1981,No,A
479,36,No,Non-Travel,Unknown,1,5,Medical,4,Female,3,2, Sales Executive ,4,Unknown,6653,15276,4,No,15,3,2,0,Unknown,6,3,1,0,0,1987,Yes,A
485,33,Yes,Travel_Rarely,Unknown,5,3,Marketing,4,Female,3,1, Sales Representative ,3,Single,2851,9150,1,No,13,3,2,0,1,2,3,1,0,0,1990,No,A
487,46,No,Travel_Rarely, Research & Development ,7,4,Medical,3,Female,3,2, Manufacturing Director ,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,1977,Yes,A
494,21,Yes,Travel_Rarely, Sales ,12,3,Life Sciences,3,Female,4,1, Sales Representative ,2,Single,6477,25422,1,No,15,3,4,0,1,0,3,1,0,0,2002,No,B
508,30,No,Travel_Rarely,Unknown,2,1,Technical Degree,3,Male,3,1, Sales Representative ,2,Unknown,2476,17434,1,No,18,3,1,1,Unknown,3,3,1,0,0,1993,Yes,B
514,30,Yes,Travel_Frequently,Unknown,4,3,Unknown,3,Male,3,1, Research Scientist ,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,1993,No,A
518,32,No,Travel_Rarely,Unknown,10,4,Unknown,3,Male,3,2, Manufacturing Director ,2,Single,4197,21123,2,No,12,3,4,0,18,2,2,1,0,1,1986,Yes,B
556,38,No,Travel_Frequently,Unknown,2,2,Unknown,4,Male,3,1, Laboratory Technician ,4,Married,1702,12106,1,Yes,23,4,3,1,Unknown,3,3,1,0,0,1985,No,A
566,19,Yes,Travel_Rarely,Unknown,2,2,Technical Degree,1,Male,2,1, Human Resources ,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,2004,Yes,A
568,57,No,Travel_Rarely,Unknown,29,3,Unknown,1,Male,2,4, Manager ,4,Divorced,6477,22102,3,No,12,3,3,1,Unknown,3,2,1,0,0,1966,Yes,A
614,18,Yes,Travel_Frequently,Unknown,5,3,Marketing,2,Male,3,1, Sales Representative ,2,Unknown,1878,8059,1,Yes,14,3,4,0,Unknown,3,3,0,0,0,2005,No,B
615,40,No,Travel_Rarely,Unknown,28,3,Other,3,Male,1,3, Sales Executive ,1,Unknown,6477,11373,3,No,15,3,3,1,20,2,3,1,0,1,1983,Yes,B
622,26,Yes,Travel_Rarely, Research & Development ,24,3,Unknown,3,Male,1,1, Laboratory Technician ,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,1997,Yes,A
643,24,No,Travel_Rarely,Unknown,17,2,Other,4,Male,2,1, Laboratory Technician ,2,Married,2127,9100,1,No,21,4,4,1,1,2,3,1,0,0,1999,Yes,B
648,30,Yes,Travel_Frequently,Unknown,12,4,Unknown,2,Male,2,1, Sales Representative ,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,1993,Yes,B
656,37,No,Travel_Rarely,Unknown,2,3,Marketing,4,Male,3,2, Sales Executive ,3,Married,9602,3010,4,No,11,3,3,1,Unknown,3,2,3,1,0,1986,No,A
657,20,No,Travel_Rarely, Research & Development ,1,3,Life Sciences,4,Female,2,1, Research Scientist ,2,Unknown,6477,11757,1,No,13,3,4,0,1,0,4,1,0,0,2003,Yes,B
661,43,No,Travel_Rarely,Unknown,14,4,Other,2,Male,2,4, Research Director ,4,Divorced,16627,2671,4,No,14,3,3,1,21,3,3,1,0,0,1980,No,A
662,38,No,Travel_Rarely,Unknown,27,1,Life Sciences,3,Female,3,1, Research Scientist ,1,Unknown,6477,14561,3,No,17,3,4,0,8,3,2,0,0,0,1985,Yes,B
690,29,No,Travel_Rarely, Sales ,44,2,Medical,2,Female,3,2, Sales Executive ,3,Unknown,6477,3487,1,No,14,3,1,1,Unknown,5,2,6,1,2,1994,No,A
701,20,Yes,Travel_Rarely,Unknown,10,1,Medical,4,Male,3,1, Research Scientist ,3,Single,1009,26999,1,No,11,3,4,0,Unknown,5,3,1,1,1,2003,Yes,A
704,35,No,Non-Travel,Unknown,20,3,Unknown,3,Male,2,1, Laboratory Technician ,3,Married,6477,16900,1,No,18,3,3,2,1,3,3,1,0,0,1988,No,A
715,37,No,Travel_Rarely,Unknown,10,2,Life Sciences,4,Male,4,1, Research Scientist ,4,Single,6477,15232,3,No,17,3,1,0,Unknown,2,3,1,0,0,1986,Yes,A
743,38,No,Travel_Rarely,Unknown,1,3,Unknown,3,Female,3,3, Manufacturing Director ,3,Single,7861,15397,4,Yes,14,3,4,0,10,4,3,1,0,0,1985,Yes,A
749,29,No,Travel_Rarely,Unknown,10,3,Unknown,3,Male,3,1, Sales Representative ,3,Single,2642,2755,1,No,11,3,3,0,1,6,3,1,0,0,1994,No,A
773,38,No,Travel_Rarely,Unknown,2,5,Medical,4,Male,3,1, Research Scientist ,3,Married,6477,20471,6,Yes,13,3,2,1,Unknown,0,1,1,0,1,1985,Yes,A
775,34,No,Travel_Rarely,Unknown,8,5,Life Sciences,2,Female,3,2, Manufacturing Director ,1,Unknown,5121,4187,3,No,14,3,3,1,Unknown,3,3,0,0,0,1989,Yes,B
811,23,Yes,Travel_Rarely,Unknown,6,3,Life Sciences,3,Male,4,1, Laboratory Technician ,1,Unknown,6477,3445,1,Yes,21,4,3,2,1,2,3,0,0,0,2000,No,B
812,24,No,Travel_Rarely,Unknown,9,3,Life Sciences,3,Male,2,1, Laboratory Technician ,2,Divorced,2694,26551,1,No,11,3,3,3,Unknown,4,3,1,0,0,1999,No,B
816,29,Yes,Travel_Rarely,Unknown,1,2,Life Sciences,2,Female,2,1, Laboratory Technician ,1,Married,6477,6689,1,No,11,3,4,1,1,1,3,1,0,0,1994,Yes,B
832,40,No,Travel_Frequently,Unknown,16,4,Medical,1,Male,2,2, Laboratory Technician ,3,Unknown,5094,11983,6,No,14,3,4,0,10,6,3,1,0,0,1983,Yes,A
833,30,No,Travel_Rarely, Research & Development ,2,3,Unknown,3,Female,2,2, Manufacturing Director ,4,Single,6477,20234,5,No,24,4,2,0,12,4,2,0,0,0,1993,Yes,A
